"00000052";"RECREACAO ESCOLA INFANTIL TREVINHO VERDE S/C LTDA";"2240";"28";"0,00";"05";""
"00000053";"CONDOMINIO EDIFICIO MIRIAM";"3085";"19";"0,00";"05";""
"00000054";"ACAO COMUNITARIA FEMININA DO JARDIM MONTE ALEGRE";"3999";"16";"0,00";"05";""
"00000055";"GAL ENTREGADORA S/C LTDA";"2240";"28";"0,00";"05";""
"00000056";"PROMPT INFORMATICA LTDA";"2240";"49";"1000,00";"01";""
"00000057";"CONDOMINIO EDIFICIO MARCIA";"3085";"19";"0,00";"05";""
"00000058";"TALENTO SERVICOS E MAO DE OBRA LTDA";"2240";"49";"0,00";"05";""
"00000059";"CENTRO ESPIRITA SAO JORGE";"3999";"16";"0,00";"05";""
"00000060";"SOCIEDADE AMIGOS DO BAIRRO DO PARQUE PERUCHE";"3999";"16";"0,00";"05";""
"00000061";"LMW SOCIALITE COMERCIAL E CERIMONIAL LTDA";"2062";"49";"0,00";"05";""
"00000062";"CENTRO DE RECREACAO INFANTIL GRILINHO S/C.LTDA.";"2240";"28";"0,00";"05";""
"00000063";"VALENZUELA PRESTACAO DE SERV DE EMBALAGEM S/C LTDA";"2240";"28";"0,00";"01";""
"00000064";"TRANSLIRIO TRANSPORTES S/C LTDA";"2240";"49";"0,00";"01";""
"00000065";"VANZELLI COMERCIO E SERVICOS DE MATERIAIS ELETRICOS LTDA";"2062";"49";"0,00";"01";""
"00000066";"ASSOCIACAO BENEFICENTE DESPERTAR DIVINO";"3999";"16";"0,00";"05";""
"00000067";"LOJA SIMBOLICA UNIAO SANTELENENSE N 100";"3999";"16";"0,00";"05";""
"00000068";"ROSIMEIRE NICCIOLI CLERICE MANUTENCAO DE RELOGIOS";"2135";"50";"70000,00";"01";""
"00000069";"QUIRONIA INTERMEDIACAO DE NEGOCIOS LTDA";"2240";"28";"0,00";"05";""
"00000070";"NELSON ROBERTO VALINI";"2135";"50";"3600,00";"01";""
"00000071";"JP PUBLICIDADE S/C LTDA";"2240";"49";"0,00";"01";""
"00000072";"CALIC CENTRO DE APERF.DE LIMP.INDUSTRIAL E COML.S/C LTD";"2240";"49";"0,00";"05";""
"00000073";"BABY MOVEL SERVICOS INFANTIS S/C LTDA";"2240";"49";"0,00";"01";""
"00000074";"NUCLEO DE RECREACAO INFANTIL NUVEM ROSA S/C LTDA";"2240";"28";"0,00";"05";""
"00000075";"CENTRO ESPIRITA EURIPEDES BARSANULFO";"3999";"16";"0,00";"05";""
"00000076";"CONDOMINIO EDIFICIO SAN MARTIN";"3085";"19";"0,00";"05";""
"00000077";"LAVANDERIA CRUZ DA ESPERANCA LTDA";"2240";"28";"0,00";"05";""
"00000078";"ASSOC DOS MORADORES DO BL 12 CONJ HAB SITIO DOS FRANCOS";"3999";"19";"0,00";"05";""
"00000079";"CLUBE DE MAES CHAMA VIVA";"3999";"16";"0,00";"05";""
"00000080";"COMUNIDADE AGUA DA VIDA";"3999";"16";"0,00";"05";""
"00000081";"CLUBE DE MAES TIA LIBERATA";"3999";"16";"0,00";"05";""
"00000082";"MISSAO EVANGELICA PRINCIPE DA PAZ";"3999";"16";"0,00";"05";""
